PostalCode,Latitude,Longitude
1059BV,52.3447,4.8467400000000005
1051KX,52.38458,4.81976
1021HL,52.38745,4.92155
1091WS,52.35429,4.91737
1094PN,52.36162,4.93837
1097ES,52.34908,4.93621
1013SZ,52.38821,4.88037
1104PB,52.31605,4.96906
1056HR,52.37725,4.85882
1073TN,52.35286,4.89652
1021GP,52.38516,4.91665
1013SR,52.38821,4.88037
1018MR,52.36976,4.92355
1107JT,52.29426,4.97994
1108GC,52.31046,4.98182
1051KP,52.38458,4.81976
1056BK,52.37339,4.85241
1064TG,52.37771,4.82141
1055ED,52.3797,4.85292
1064TH,52.37771,4.82141
1024TX,52.39309,4.9513300000000005
1091GT,52.3569,4.91286
1052JZ,52.37589000000001,4.8749199999999995
1102CA,52.31292,4.9551
1062JR,52.36423,4.84742
1094PS,52.36162,4.93837
1055ES,52.37977,4.8479
1094EH,52.36482,4.93396
1056BG,52.37567,4.8423099999999994
1068SM,52.36361,4.79956
1082TK,52.33348,4.87755
1025ZV,52.40324,4.94297
1024PK,52.39499,4.9449
1072RE,52.34982,4.89311
1108CA,52.30742,4.97665
1034LJ,52.40843,4.92161
1064AL,52.373329999999996,4.83277
1098SV,52.35074,4.9435
1104PE,52.31605,4.96906
1104PA,52.31605,4.96906
1058NM,52.351620000000004,4.8419300000000005
1067KW,52.37785,4.80052
1095AV,52.361000000000004,4.93998
1025DN,52.4029,4.93778
1013SV,52.38821,4.88037
1060NC,52.35362,4.77473
1024PG,52.39499,4.9449
1024AE,52.39866,4.95118
1102NL,52.31057,4.95242
1059TL,52.35099,4.84605
1055DX,52.3797,4.85292
1079EK,52.34441,4.90489
1011MH,52.36947,4.9064
1019GL,52.3682,4.94455
1091VV,52.355579999999996,4.9202699999999995
1082EM,52.326962,4.8730400000000005
1053TX,52.37021,4.86718
1093DD,52.364259999999994,4.92603
1025AH,52.40187,4.94735
1056XB,52.375659999999996,4.86126
1068JR,52.35626,4.81384
1055CK,52.37831,4.85021
1058GM,52.35817,4.8517
1061VP,52.363209999999995,4.84049
1082VA,52.32864,4.8687
1055BM,52.37712,4.85086
1066SE,52.34619,4.81393
1104PC,52.31605,4.96906
1055BS,52.37712,4.85086
1056BA,52.37361,4.84621
1091RT,52.35756,4.90779
1059SR,52.35216,4.8476
1062KJ,52.35366,4.8359
1060RE,52.35048,4.78252
1065TP,52.355469,4.83041
1062BP,52.36211,4.83822
1025EE,52.4029,4.93778
1063MH,52.3794,4.82296
1025TJ,52.39918,4.93041
1104MP,52.3174,4.96875
1076XK,52.34905,4.8609800000000005
1107JL,52.29426,4.97994
1056AZ,52.37361,4.84621
1095HW,52.35972,4.94303
1107RA,52.292120000000004,4.96999
1056EE,52.36936,4.84552
1069LC,52.35484,4.791919999999998
1106JJ,52.2974,4.97206
1106EZ,52.30424,4.9669
1102XN,52.32447,4.94537
1094JX,52.36254,4.93567
1094GH,52.36433,4.9355
1079ZP,52.34179,4.89931
1064AJ,52.37333,4.83277
1053NK,52.36418,4.86758
1107HV,52.293820000000004,4.9786800000000015
1108CE,52.30742,4.97665
1094EG,52.36482,4.93396
1060NJ,52.35281,4.7767300000000015
1034LK,52.408429999999996,4.92161
1024VB,52.39309,4.9513300000000005
1025GP,52.396390000000004,4.93801
1056KE,52.37216,4.86525
1065EP,52.35739,4.82315
1061SX,52.36499,4.83782
1032BX,52.3958,4.91547
1034MD,52.4099,4.92332
1107NA,52.296620000000004,4.9867
1064BN,52.37549,4.81954
1065LV,52.35671,4.82015
1068WX,52.35751,4.80791
1034BN,52.40746,4.91252
1102HD,52.30981,4.95795
1102VK,52.31958,4.94351
1108DE,52.30792,4.97883
1106DL,52.300509999999996,4.98715
1072JD,52.35055,4.88866
1013WD,52.39014,4.87697
1055XR,52.38285,4.85334
1063HS,52.382020000000004,4.82345
1059TN,52.35099,4.84605
1065XJ,52.36298,4.82982
1069PB,52.35277,4.78231
1018ZR,52.36932,4.91541
1073HP,52.34943,4.89585
1102XM,52.32382,4.94767
1094ER,52.36111,4.93261
1055LB,52.38316,4.84771
1094PA,52.36162,4.93837
1106BW,52.29871,4.977519999999998
1107KJ,52.29549,4.98481
1059BH,52.34871,4.8476300000000005
1082EN,52.32696,4.8730400000000005
1106BK,52.29825,4.97487
1033PC,52.40696,4.89871
