Name,Link,Vraagprijs,Vraagprijs per m²,Aangeboden sinds,Status,Aanvaarding,Bijdrage VvE,Soort appartement,Soort bouw,Bouwjaar,Soort dak,Wonen,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Gelegen op,Voorzieningen,Energielabel,Isolatie,Verwarming,Postal Code,Keurmerken,Toegankelijkheid,Soort garage,Postal Code Generic,PostalCode,Latitude,Longitude,Price,Sale type,Price per m2,Surface
Westlandgracht 193 1,https://www.funda.nl/koop/amsterdam/appartement-86703167-westlandgracht-193-1/?navigateSource=resultlist,€ 375.000 k.k.,€ 6.944,6 weken,Onder bod,In overleg,€ 50 per maand,Tussenverdieping (appartement),Bestaande bouw,1933,Zadeldak,54 m²,54 m²,3 kamers (2 slaapkamers),1 badkamer,Douche,1 woonlaag,1e woonlaag,Glasvezelkabel,-,-,-,1059TL,Energie Prestatie Advies,-,-,1059,1059TL,52.35099,4.84605,375000,K.K.,6944,54
Bos en Lommerweg 303 I,https://www.funda.nl/koop/amsterdam/appartement-40304550-bos-en-lommerweg-303-i/?navigateSource=resultlist,€ 325.000 k.k.,€ 4.276,2 maanden,Verkocht onder voorbehoud,In overleg,-,Tussenverdieping (appartement),Bestaande bouw,1940,-,76 m²,8 m²,4 kamers (3 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,1e woonlaag,TV kabel,Niet beschikbaar,-,-,1055DX,-,-,-,1055,1055DX,52.3797,4.85292,325000,K.K.,4276,76
Lekstraat 7 1,https://www.funda.nl/koop/amsterdam/appartement-41415693-lekstraat-7-1/?navigateSource=resultlist,€ 320.000 k.k.,€ 6.400,2 oktober 2019,Onder bod,In overleg,€ 130 per maand,Tussenverdieping (appartement),Bestaande bouw,1928,-,50 m²,8 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,1e woonlaag,TV kabel,D Wat betekent dit?,Vloerisolatie en dubbel glas,Cv-ketel,1079EK,-,-,-,1079,1079EK,52.344409999999996,4.90489,320000,K.K.,6400,50
Valkenburgerstraat 135,https://www.funda.nl/koop/amsterdam/appartement-87853244-valkenburgerstraat-135/?navigateSource=resultlist,€ 400.000 k.k.,€ 5.714,2 weken,Onder bod,In overleg,€ 146 per maand,Bovenwoning (appartement),Bestaande bouw,1998,Plat dak,70 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,6 woonlagen,2e woonlaag,Elektra,B Wat betekent dit?,Dubbel glas en volledig geïsoleerd,Stadsverwarming,1011MH,Energie Prestatie Advies,-,-,1011,1011MH,52.36947,4.9064,400000,K.K.,5714,70
J.C. van Epenstraat 15,https://www.funda.nl/koop/amsterdam/appartement-41462748-jc-van-epenstraat-15/?navigateSource=resultlist,€ 349.000 k.k.,€ 4.847,3 weken,Verkocht onder voorbehoud,In overleg,€ 137 per maand,Bovenwoning (appartement),Bestaande bouw,1988,Plat dak bedekt met bitumineuze dakbedekking,72 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,Elektra,C Wat betekent dit?,Volledig geïsoleerd,Cv-ketel,1019GL,Energie Prestatie Advies,-,-,1019,1019GL,52.3682,4.94455,349000,K.K.,4847,72
Tugelaweg 121 E,https://www.funda.nl/koop/amsterdam/appartement-87824423-tugelaweg-121-e/?navigateSource=resultlist,€ 375.000 k.k.,€ 5.000,4 weken,Onder bod,Per direct beschikbaar,€ 117 per maand,Bovenwoning (appartement),Bestaande bouw,1989,Plat dak bedekt met bitumineuze dakbedekking,75 m²,3 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,4e woonlaag,Elektra,"B 1,33 Wat betekent dit?","Dakisolatie, muurisolatie, vloerisolatie en dubbel glas",Cv-ketel,1091VV,Energie Prestatie Advies,-,-,1091,1091VV,52.35558,4.92027,375000,K.K.,5000,75
Zuid-Hollandstraat 116 2,https://www.funda.nl/koop/amsterdam/appartement-41450474-zuid-hollandstraat-116-2/?navigateSource=resultlist,€ 400.000 k.k.,€ 5.063,5 weken,Verkocht onder voorbehoud,In overleg,€ 219 per maand,Portiekflat (appartement),Bestaande bouw,1963,Plat dak bedekt met bitumineuze dakbedekking,79 m²,9 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,2e woonlaag,Elektra,F Wat betekent dit?,Geen isolatie,Blokverwarming,1082EM,-,-,-,1082,1082EM,52.326962,4.8730400000000005,400000,K.K.,5063,79
Elisabeth Wolffstraat 84 2,https://www.funda.nl/koop/amsterdam/appartement-41459760-elisabeth-wolffstraat-84-2/?navigateSource=resultlist,€ 350.000 k.k.,€ 6.863,5 weken,Verkocht onder voorbehoud,In overleg,€ 80 per maand,Bovenwoning (appartement),Bestaande bouw,1904,-,51 m²,3 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,2e woonlaag,Mechanische ventilatie en TV kabel,D Wat betekent dit?,Dubbel glas,Cv-ketel,1053TX,-,-,-,1053,1053TX,52.37021,4.86718,350000,K.K.,6863,51
Von Zesenstraat 233,https://www.funda.nl/koop/amsterdam/appartement-41459562-von-zesenstraat-233/?navigateSource=resultlist,€ 400.000 k.k.,€ 5.000,5 weken,Verkocht onder voorbehoud,In overleg,€ 114 per maand,Bovenwoning (appartement),Bestaande bouw,-,Plat dak bedekt met bitumineuze dakbedekking,80 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer,Douche,1 woonlaag,2e woonlaag,Mechanische ventilatie,"B 1,16 Wat betekent dit?",Volledig geïsoleerd,Cv-ketel,1093DD,-,-,-,1093,1093DD,52.36426,4.92603,400000,K.K.,5000,80
Elpermeer 275,https://www.funda.nl/koop/amsterdam/appartement-41457340-elpermeer-275/?navigateSource=resultlist,€ 249.000 k.k.,€ 2.862,5 weken,Verkocht onder voorbehoud,In overleg,€ 236 per maand,Galerijflat (appartement),Bestaande bouw,1970,Plat dak bedekt met bitumineuze dakbedekking,87 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,TV kabel en lift,"E 2,02 Wat betekent dit?",Gedeeltelijk dubbel glas en voorzetramen,Blokverwarming,1025AH,Energie Prestatie Advies,-,-,1025,1025AH,52.40187,4.94735,249000,K.K.,2862,87
Bloys van Treslongstraat 32 II,https://www.funda.nl/koop/amsterdam/appartement-40349314-bloys-van-treslongstraat-32-ii/?navigateSource=resultlist,€ 340.000 k.k.,€ 6.071,6 weken,Verkocht onder voorbehoud,In overleg,€ 135 per maand,Bovenwoning (appartement),Bestaande bouw,1937,Plat dak bedekt met bitumineuze dakbedekking,56 m²,9 m²,4 kamers (3 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,3e woonlaag,Elektra,D Wat betekent dit?,Gedeeltelijk dubbel glas,Cv-ketel,1056XB,-,-,-,1056,1056XB,52.37566,4.86126,340000,K.K.,6071,56
S. F. van Ossstraat 304,https://www.funda.nl/koop/amsterdam/appartement-40347006-s-f-van-ossstraat-304/?navigateSource=resultlist,€ 250.000 k.k.,€ 3.247,6 weken,Onder bod,Beschikbaar per 1-11-2019,€ 221 per maand,Galerijflat (appartement),Bestaande bouw,1965,-,77 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,5e woonlaag,TV kabel en lift,D Wat betekent dit?,Dubbel glas,Blokverwarming,1068JR,-,-,-,1068,1068JR,52.35626,4.81384,250000,K.K.,3247,77
Tijl Uilenspiegelstraat 7 I,https://www.funda.nl/koop/amsterdam/appartement-86709455-tijl-uilenspiegelstraat-7-i/?navigateSource=resultlist,€ 375.000 k.k.,€ 5.435,6 weken,Verkocht onder voorbehoud,In overleg,€ 100 per maand,Bovenwoning (appartement),Bestaande bouw,1940,Plat dak bedekt met bitumineuze dakbedekking,69 m²,2 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,1e woonlaag,TV kabel,E Wat betekent dit?,Dubbel glas,Cv-ketel en gehele vloerverwarming,1055CK,Energie Prestatie Advies,-,-,1055,1055CK,52.37831,4.85021,375000,K.K.,5435,69
Surinameplein 23 -1,https://www.funda.nl/koop/amsterdam/appartement-40331378-surinameplein-23-1/?navigateSource=resultlist,€ 375.000 k.k.,€ 5.282,7 weken,Verkocht onder voorbehoud,In overleg,€ 120 per maand,Bovenwoning (appartement),Bestaande bouw,1928,Zadeldak bedekt met pannen,71 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,1e woonlaag,TV kabel,"E 2,20 Wat betekent dit?",Dubbel glas,Cv-ketel,1058GM,-,-,-,1058,1058GM,52.35817,4.8517,375000,K.K.,5282,71
Derkinderenstraat 57 -2,https://www.funda.nl/koop/amsterdam/appartement-40322605-derkinderenstraat-57-2/?navigateSource=resultlist,€ 275.000 k.k.,€ 3.873,2 maanden,Verkocht onder voorbehoud,In overleg,€ 163 per maand,Bovenwoning (appartement),Bestaande bouw,1959,Zadeldak bedekt met pannen,71 m²,13 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,TV kabel,"C 1,31 Wat betekent dit?",Dubbel glas,Cv-ketel,1061VP,-,-,-,1061,1061VP,52.36321,4.84049,275000,K.K.,3873,71
Buitenveldertselaan 35,https://www.funda.nl/koop/amsterdam/appartement-40321381-buitenveldertselaan-35/?navigateSource=resultlist,€ 345.000 k.k.,€ 4.367,2 maanden,Verkocht onder voorbehoud,In overleg,€ 233 per maand,Bovenwoning (appartement),Bestaande bouw,1963,-,79 m²,8 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,-,Lift,"C 1,50 Wat betekent dit?",Dubbel glas,Cv-ketel,1082VA,-,-,-,1082,1082VA,52.32864,4.8687,345000,K.K.,4367,79
Sanderijnstraat 11 III,https://www.funda.nl/koop/amsterdam/appartement-40327446-sanderijnstraat-11-iii/?navigateSource=resultlist,€ 370.000 k.k.,€ 6.491,2 maanden,Verkocht onder voorbehoud,In overleg,€ 80 per maand,Bovenwoning (appartement),Bestaande bouw,1940,-,57 m²,11 m²,3 kamers (2 slaapkamers),1 badkamer,Ligbad en toilet,1 woonlaag,3e woonlaag,Mechanische ventilatie en TV kabel,G Wat betekent dit?,Dakisolatie en vloerisolatie,Cv-ketel,1055BM,-,-,-,1055,1055BM,52.37712,4.85086,370000,K.K.,6491,57
Ardennenlaan 148,https://www.funda.nl/koop/amsterdam/appartement-41417107-ardennenlaan-148/?navigateSource=resultlist,€ 345.000 k.k.,€ 3.557,4 oktober 2019,Onder bod,In overleg,€ 178 per maand,Galerijflat (appartement),Bestaande bouw,1994,-,97 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,-,Lift,C Wat betekent dit?,-,Cv-ketel,1066SE,-,-,-,1066,1066SE,52.34619,4.81393,345000,K.K.,3557,97
Kolfschotenstraat 194,https://www.funda.nl/koop/amsterdam/appartement-41498333-kolfschotenstraat-194/?navigateSource=resultlist,€ 215.000 k.k.,€ 3.028,2 weken,Onder bod,In overleg,€ 103 per maand,Bovenwoning (appartement),Bestaande bouw,1985,Plat dak bedekt met bitumineuze dakbedekking,71 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,3 woonlagen,2e woonlaag,Elektra,A Wat betekent dit?,Muurisolatie en gedeeltelijk dubbel glas,Cv-ketel,1104PC,-,-,-,1104,1104PC,52.31605,4.96906,215000,K.K.,3028,71
Sanderijnstraat 12 I,https://www.funda.nl/koop/amsterdam/appartement-41477807-sanderijnstraat-12-i/?navigateSource=resultlist,€ 325.000 k.k.,€ 5.702,3 weken,Onder bod,In overleg,€ 102 per maand,Bovenwoning (appartement),Bestaande bouw,1939,Plat dak,57 m²,10 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,1e woonlaag,Elektra,Niet beschikbaar,Dubbel glas,Cv-ketel,1055BS,-,-,-,1055,1055BS,52.37712,4.85086,325000,K.K.,5702,57
Robert Scottstraat 52 2,https://www.funda.nl/koop/amsterdam/appartement-41475934-robert-scottstraat-52-2/?navigateSource=resultlist,€ 300.000 k.k.,€ 4.762,3 weken,Verkocht onder voorbehoud,In overleg,-,Portiekflat (appartement),Bestaande bouw,1950,Zadeldak bedekt met pannen,63 m²,10 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,-,1 woonlaag,3e woonlaag,Elektra,C Wat betekent dit?,Dubbel glas,Cv-ketel,1056BA,-,-,-,1056,1056BA,52.37361,4.84621,300000,K.K.,4762,63
Swammerdamstraat 2 B,https://www.funda.nl/koop/amsterdam/appartement-41464455-swammerdamstraat-2-b/?navigateSource=resultlist,€ 350.000 k.k.,€ 5.224,3 weken,Verkocht onder voorbehoud,In overleg,€ 111 per maand,Portiekwoning (appartement met open portiek),Bestaande bouw,1988,Plat dak bedekt met bitumineuze dakbedekking,67 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,2e woonlaag,Elektra,C Wat betekent dit?,Dubbel glas,Cv-ketel,1091RT,-,-,-,1091,1091RT,52.35756,4.90779,350000,K.K.,5224,67
Woestduinstraat 111 I,https://www.funda.nl/koop/amsterdam/appartement-41463396-woestduinstraat-111-i/?navigateSource=resultlist,€ 325.000 k.k.,€ 6.019,3 weken,Verkocht onder voorbehoud,In overleg,€ 80 per maand,Bovenwoning (appartement),Bestaande bouw,1934,Samengesteld dak bedekt met pannen en bitumineuze dakbedekking,54 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer,Ligbad en toilet,1 woonlaag,1e woonlaag,-,E Wat betekent dit?,-,Cv-ketel,1059SR,-,-,-,1059,1059SR,52.35216,4.8476,325000,K.K.,6019,54
Wittgensteinlaan 349,https://www.funda.nl/koop/amsterdam/appartement-41467537-wittgensteinlaan-349/?navigateSource=resultlist,€ 350.000 k.k.,€ 4.487,4 weken,Verkocht onder voorbehoud,In overleg,€ 126 per maand,Bovenwoning (appartement),Bestaande bouw,1992,Plat dak bedekt met bitumineuze dakbedekking,78 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,5e woonlaag,Elektra,-,Volledig geïsoleerd,Cv-ketel,1062KJ,-,-,-,1062,1062KJ,52.35366,4.8359,350000,K.K.,4487,78
Ladogameerhof 153,https://www.funda.nl/koop/amsterdam/appartement-41465999-ladogameerhof-153/?navigateSource=resultlist,€ 285.000 k.k.,€ 4.318,4 weken,Verkocht onder voorbehoud,In overleg,€ 214 per maand,Portiekflat (appartement),Bestaande bouw,1999,Plat dak,66 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,-,1 woonlaag,2e woonlaag,TV kabel en lift,-,Dubbel glas,Stadsverwarming,1060RE,-,-,-,1060,1060RE,52.35048,4.78252,285000,K.K.,4318,66
Ladogameerhof 171,https://www.funda.nl/koop/amsterdam/appartement-41469299-ladogameerhof-171/?navigateSource=resultlist,€ 295.000 k.k.,€ 3.352,4 weken,Verkocht onder voorbehoud,In overleg,€ 275 per maand,Maisonnette (appartement),Bestaande bouw,1999,Plat dak bedekt met bitumineuze dakbedekking,88 m²,4 m²,4 kamers (3 slaapkamers),1 apart toilet,-,4 woonlagen,4e woonlaag,Mechanische ventilatie en TV kabel,-,Volledig geïsoleerd,Cv-ketel,1060RE,-,-,-,1060,1060RE,52.35048,4.78252,295000,K.K.,3352,88
Ariana Nozemanstraat 21 -2,https://www.funda.nl/koop/amsterdam/appartement-41458706-ariana-nozemanstraat-21-2/?navigateSource=resultlist,€ 250.000 k.k.,€ 4.464,5 weken,Verkocht onder voorbehoud,In overleg,€ 98 per maand,Bovenwoning (appartement),Bestaande bouw,1955,Zadeldak bedekt met pannen,56 m²,25 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,TV kabel,-,Dubbel glas,Cv-ketel,1065TP,-,-,-,1065,1065TP,52.355469,4.83041,250000,K.K.,4464,56
Thorn Prikkerstraat 42,https://www.funda.nl/koop/amsterdam/appartement-41457326-thorn-prikkerstraat-42/?navigateSource=resultlist,€ 340.000 k.k.,€ 4.304,5 weken,Verkocht onder voorbehoud,In overleg,€ 131 per maand,Bovenwoning (appartement),Bestaande bouw,-,-,79 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,5e woonlaag,Elektra,-,Dubbel glas,Cv-ketel,1062BP,-,-,-,1062,1062BP,52.362109999999994,4.83822,340000,K.K.,4304,79
H. Cleyndertweg 839,https://www.funda.nl/koop/amsterdam/appartement-40342730-h-cleyndertweg-839/?navigateSource=resultlist,€ 300.000 k.k.,€ 3.409,6 weken,Verkocht onder voorbehoud,In overleg,€ 251 per maand,Galerijflat (appartement),Bestaande bouw,1974,-,88 m²,7 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,11e woonlaag,TV kabel en lift,D Wat betekent dit?,Dubbel glas,Blokverwarming,1025EE,-,-,-,1025,1025EE,52.4029,4.93778,300000,K.K.,3409,88
Jan de Jonghkade 26,https://www.funda.nl/koop/amsterdam/appartement-40341825-jan-de-jonghkade-26/?navigateSource=resultlist,€ 400.000 k.k.,€ 3.077,6 weken,Onder bod,In overleg,€ 198 per maand,Bovenwoning (appartement),Bestaande bouw,1999,Plat dak bedekt met bitumineuze dakbedekking,130 m²,8 m²,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,-,1 woonlaag,3e woonlaag,Elektra,B Wat betekent dit?,-,Cv-ketel,1063MH,-,-,Parkeerplaats,1063,1063MH,52.3794,4.82296,400000,K.K.,3077,130
Loenermark 391,https://www.funda.nl/koop/amsterdam/appartement-40349987-loenermark-391/?navigateSource=resultlist,€ 260.000 k.k.,€ 3.421,6 weken,Verkocht onder voorbehoud,In overleg,€ 204 per maand,Galerijflat (appartement),Bestaande bouw,1973,Plat dak bedekt met bitumineuze dakbedekking,76 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,13e woonlaag,TV kabel en lift,"D 1,86 Wat betekent dit?",Dubbel glas,Blokverwarming,1025TJ,-,-,Parkeerkelder en parkeerplaats,1025,1025TJ,52.39918,4.93041,260000,K.K.,3421,76
Kloekhorststraat 265,https://www.funda.nl/koop/amsterdam/appartement-86703374-kloekhorststraat-265/?navigateSource=resultlist,€ 210.000 k.k.,€ 2.763,6 weken,Verkocht onder voorbehoud,In overleg,-,Portiekflat (appartement),Bestaande bouw,1984,Plat dak,76 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,2e woonlaag,Elektra,C Wat betekent dit?,Dubbel glas,Cv-ketel,1104MP,-,-,-,1104,1104MP,52.3174,4.96875,210000,K.K.,2763,76
Kloekhorststraat 285,https://www.funda.nl/koop/amsterdam/appartement-40312588-kloekhorststraat-285/?navigateSource=resultlist,€ 215.000 k.k.,€ 3.028,2 maanden,Verkocht onder voorbehoud,In overleg,€ 116 per maand,Portiekflat (appartement),Bestaande bouw,1984,Plat dak bedekt met bitumineuze dakbedekking,71 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,1e woonlaag,Elektra,A Wat betekent dit?,-,Cv-ketel,1104MP,-,-,-,1104,1104MP,52.3174,4.96875,215000,K.K.,3028,71
Theseusstraat 15 -II,https://www.funda.nl/koop/amsterdam/appartement-40334280-theseusstraat-15-ii/?navigateSource=resultlist,€ 395.000 k.k.,€ 7.453,7 weken,Verkocht onder voorbehoud,In overleg,€ 104 per maand,Bovenwoning (dubbel bovenhuis),Bestaande bouw,1926,-,53 m²,31 m²,3 kamers (2 slaapkamers),1 badkamer,-,2 woonlagen,2e woonlaag,Mechanische ventilatie en TV kabel,A Wat betekent dit?,-,Cv-ketel,1076XK,-,-,-,1076,1076XK,52.34905,4.8609800000000005,395000,K.K.,7453,53
Schalkwijkpad 23,https://www.funda.nl/koop/amsterdam/appartement-40330343-schalkwijkpad-23/?navigateSource=resultlist,€ 250.000 k.k.,€ 2.907,7 weken,Verkocht onder voorbehoud,In overleg,€ 137 per maand,Benedenwoning (appartement),Bestaande bouw,1981,Plat dak,86 m²,4 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,2 woonlagen,Begane grond,-,"C 1,48 Wat betekent dit?",Dubbel glas,Cv-ketel,1107JL,-,-,-,1107,1107JL,52.294259999999994,4.97994,250000,K.K.,2907,86
Robert Scottstraat 36,https://www.funda.nl/koop/amsterdam/appartement-40336135-robert-scottstraat-36/?navigateSource=resultlist,€ 399.000 k.k.,€ 4.113,8 weken,Verkocht onder voorbehoud,In overleg,€ 161 per maand,Bovenwoning (appartement),Bestaande bouw,1950,Zadeldak bedekt met pannen,97 m²,3 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,2 woonlagen,-,Mechanische ventilatie en TV kabel,"F 2,83 Wat betekent dit?",-,Cv-ketel,1056AZ,-,-,-,1056,1056AZ,52.37361,4.84621,399000,K.K.,4113,97
Johan Huijsenstraat 40,https://www.funda.nl/koop/amsterdam/appartement-40327941-johan-huijsenstraat-40/?navigateSource=resultlist,€ 385.000 k.k.,€ 4.639,2 maanden,Onder bod,In overleg,€ 115 per maand,Bovenwoning,Bestaande bouw,2008,Plat dak bedekt met bitumineuze dakbedekking,83 m²,7 m²,3 kamers (2 slaapkamers),1 badkamer,Ligbad en douche,1 woonlaag,5e woonlaag,Elektra,A Wat betekent dit?,Geen isolatie,Stadsverwarming,1087LC,-,-,-,1087,1087LC,52.35096,5.00833,385000,K.K.,4639,83
Sumatraplantsoen 3 C,https://www.funda.nl/koop/amsterdam/appartement-86789277-sumatraplantsoen-3-c/?navigateSource=resultlist,€ 325.000 k.k.,€ 5.804,2 maanden,Onder bod,In overleg,€ 80 per maand,Bovenwoning (appartement),Bestaande bouw,-,Plat dak bedekt met bitumineuze dakbedekking,56 m²,7 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,Mechanische ventilatie en TV kabel,C Wat betekent dit?,-,Cv-ketel,1095HW,-,-,-,1095,1095HW,52.35972,4.94303,325000,K.K.,5804,56
Tielstraat 56,https://www.funda.nl/koop/amsterdam/appartement-86773876-tielstraat-56/?navigateSource=resultlist,€ 200.000 k.k.,€ 2.857,2 maanden,Verkocht onder voorbehoud,Per direct beschikbaar,-,Bovenwoning (appartement),Bestaande bouw,1984,Plat dak,70 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,Elektra,"C 1,43 Wat betekent dit?",Dubbel glas,Cv-ketel,1107RA,-,-,-,1107,1107RA,52.29212,4.96999,200000,K.K.,2857,70
Jan Evertsenstraat 72 2,https://www.funda.nl/koop/amsterdam/appartement-40318549-jan-evertsenstraat-72-2/?navigateSource=resultlist,€ 324.500 k.k.,€ 5.693,2 maanden,Verkocht onder voorbehoud,Per direct beschikbaar,-,Tussenverdieping (appartement),Bestaande bouw,1926,Plat dak bedekt met bitumineuze dakbedekking,57 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,2e woonlaag,Elektra,D Wat betekent dit?,Dubbel glas,Cv-ketel,1056EE,-,-,-,1056,1056EE,52.36936,4.84552,324500,K.K.,5693,57
Baden Powellweg 53,https://www.funda.nl/koop/amsterdam/appartement-40394759-baden-powellweg-53/?navigateSource=resultlist,€ 275.000 k.k.,€ 2.957,2 maanden,Verkocht onder voorbehoud,In overleg,-,Maisonnette (appartement),Bestaande bouw,1965,Plat dak bedekt met bitumineuze dakbedekking,93 m²,5 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en toilet,13 woonlagen,2e woonlaag,Elektra,D Wat betekent dit?,Dakisolatie en dubbel glas,Blokverwarming,1069LC,-,-,"Niet aanwezig, wel mogelijk",1069,1069LC,52.35484,4.791919999999998,275000,K.K.,2957,93
Rhenenhof 91,https://www.funda.nl/koop/amsterdam/appartement-40227562-rhenenhof-91/?navigateSource=resultlist,€ 200.000 k.k.,€ 2.857,3 maanden,Verkocht onder voorbehoud,In overleg,-,Portiekflat,Bestaande bouw,1977,-,70 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer,Douche,1 woonlaag,2e woonlaag,-,"B 1,21 Wat betekent dit?",Dubbel glas,Cv-ketel,1106JJ,-,-,-,1106,1106JJ,52.2974,4.97206,200000,K.K.,2857,70
Maldenhof 332,https://www.funda.nl/koop/amsterdam/appartement-40293913-maldenhof-332/?navigateSource=resultlist,€ 235.000 k.k.,€ 2.474,3 maanden,Verkocht onder voorbehoud,In overleg,€ 98 per maand,Maisonnette (appartement),Bestaande bouw,1981,Zadeldak bedekt met pannen,95 m²,4 m²,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en toilet,2 woonlagen,2e woonlaag,TV kabel,-,Dubbel glas,Cv-ketel,1106EZ,-,-,-,1106,1106EZ,52.30424,4.9669,235000,K.K.,2474,95
Dickenslaan 29,https://www.funda.nl/koop/amsterdam/appartement-40291131-dickenslaan-29/?navigateSource=resultlist,€ 260.000 k.k.,€ 3.714,4 maanden,Verkocht onder voorbehoud,In overleg,€ 118 per maand,Portiekflat (appartement),Bestaande bouw,1984,Plat dak,70 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,-,TV kabel,"C 1,44 Wat betekent dit?",Dubbel glas,Cv-ketel,1102XN,-,-,-,1102,1102XN,52.32447,4.94537,260000,K.K.,3714,70
Eerste Atjehstraat 1 D,https://www.funda.nl/koop/amsterdam/appartement-40283277-eerste-atjehstraat-1-d/?navigateSource=resultlist,€ 399.000 k.k.,€ 4.750,4 maanden,Verkocht onder voorbehoud,In overleg,€ 96 per maand,Bovenwoning (appartement),Bestaande bouw,1985,Plat dak bedekt met bitumineuze dakbedekking,84 m²,6 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche en toilet,1 woonlaag,3e woonlaag,Elektra,C Wat betekent dit?,Dubbel glas,Cv-ketel,1094JX,-,-,-,1094,1094JX,52.36254,4.93567,399000,K.K.,4750,84
Madurastraat 77 D,https://www.funda.nl/koop/amsterdam/appartement-40276053-madurastraat-77-d/?navigateSource=resultlist,€ 350.000 k.k.,€ 6.364,4 maanden,Verkocht onder voorbehoud,In overleg,€ 107 per maand,Benedenwoning (appartement),Bestaande bouw,-,-,55 m²,55 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,Begane grond,"Mechanische ventilatie, TV kabel en rookkanaal",-,Dubbel glas,Cv-ketel,1094GH,-,-,-,1094,1094GH,52.364329999999995,4.9355,350000,K.K.,6364,55
Rustenburgerstraat 144 A,https://www.funda.nl/koop/amsterdam/appartement-40256506-rustenburgerstraat-144-a/?navigateSource=resultlist,€ 400.000 k.k.,€ 7.407,5 maanden,Verkocht onder voorbehoud,In overleg,€ 84 per maand,Bovenwoning (appartement),Bestaande bouw,2006,Plat dak bedekt met bitumineuze dakbedekking,54 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer,Douche,1 woonlaag,2e woonlaag,Mechanische ventilatie en TV kabel,A Wat betekent dit?,Dubbel glas,Cv-ketel,1073GJ,-,-,-,1073,1073GJ,52.352817,4.9001790000000005,400000,K.K.,7407,54
