Vraagprijs,Vraagprijs per m²,Aangeboden sinds,Status,Aanvaarding,Bijdrage VvE,Soort appartement,Soort bouw,Bouwjaar,Soort dak,Wonen,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Gelegen op,Voorzieningen,Energielabel,Isolatie,Verwarming,Postal Code,Link,Keurmerken,Toegankelijkheid,Soort garage
€ 275.000 k.k.,€ 5.392,3 weken,Beschikbaar,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1933,Plat dak bedekt met bitumineuze dakbedekking,51 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,4e woonlaag,Mechanische ventilatie en TV kabel,D Wat betekent dit?,Gedeeltelijk dubbel glas,Cv-ketel,1056CD,https://www.funda.nl/koop/amsterdam/appartement-41464370-jan-van-galenstraat-80-iii/?navigateSource=resultlist,-,-,-
€ 275.000 k.k.,€ 3.090,3 weken,Beschikbaar,In overleg,€ 140 per maand,Bovenwoning (appartement),Bestaande bouw,1977,Plat dak,89 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer,Douche,1 woonlaag,-,-,B Wat betekent dit?,-,Cv-ketel,1034TS,https://www.funda.nl/koop/amsterdam/appartement-41461243-tussendek-63/?navigateSource=resultlist,-,-,-
€ 200.000 k.k.,€ 3.077,4 weken,Beschikbaar,In overleg,€ 220 per maand,Galerijflat (appartement),Bestaande bouw,1969,Plat dak bedekt met bitumineuze dakbedekking,65 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,8e woonlaag,Elektra,C Wat betekent dit?,-,Blokverwarming,1102EG,https://www.funda.nl/koop/amsterdam/appartement-87824074-hofgeest-118/?navigateSource=resultlist,Energie Prestatie Advies,-,-
€ 285.000 k.k.,€ 4.750,4 weken,Beschikbaar,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1941,Plat dak bedekt met bitumineuze dakbedekking,60 m²,9 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,1e woonlaag,Elektra,D Wat betekent dit?,Dubbel glas,Cv-ketel,1055HM,https://www.funda.nl/koop/amsterdam/appartement-41467850-granidastraat-50-i/?navigateSource=resultlist,-,-,-
€ 275.000 k.k.,€ 3.354,5 weken,Beschikbaar,In overleg,-,Galerijflat (appartement),Bestaande bouw,1958,-,82 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,-,D Wat betekent dit?,Gedeeltelijk dubbel glas,Blokverwarming,1063KS,https://www.funda.nl/koop/amsterdam/appartement-41459069-cornelis-van-vollenhovenstraat-34/?navigateSource=resultlist,-,-,-
€ 295.000 k.k.,€ 3.207,5 weken,Beschikbaar,In overleg,€ 189 per maand,Galerijflat (appartement),Bestaande bouw,1998,Plat dak,92 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer,Douche,5 woonlagen,3e woonlaag,"Mechanische ventilatie, TV kabel en lift",A Wat betekent dit?,Volledig geïsoleerd,Stadsverwarming,1060RG,https://www.funda.nl/koop/amsterdam/appartement-41458845-ladogameerhof-258/?navigateSource=resultlist,-,-,-
€ 295.000 k.k.,€ 3.598,5 weken,Beschikbaar,In overleg,€ 185 per maand,Maisonnette (appartement),Bestaande bouw,1990,Plat dak bedekt met bitumineuze dakbedekking,82 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche en toilet,4 woonlagen,1e woonlaag,-,C Wat betekent dit?,-,Cv-ketel,1069PV,https://www.funda.nl/koop/amsterdam/appartement-87811541-trijn-hullemanlaan-102/?navigateSource=resultlist,-,-,-
€ 325.000 k.k.,€ 3.963,6 weken,Beschikbaar,In overleg,-,Bovenwoning,Bestaande bouw,1995,Plat dak bedekt met bitumineuze dakbedekking,82 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,2e woonlaag,Elektra,C Wat betekent dit?,Geen isolatie,Cv-ketel,1024MG,https://www.funda.nl/koop/amsterdam/appartement-40341060-zuiderzeepark-14/?navigateSource=resultlist,-,Toegankelijk voor gehandicapten en toegankelijk voor ouderen,Parkeerkelder
€ 350.000 k.k.,€ 3.465,7 weken,Beschikbaar,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1966,-,101 m²,6 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,10e woonlaag,"Mechanische ventilatie, TV kabel, buitenzonwering en lift",G Wat betekent dit?,Gedeeltelijk dubbel glas,Blokverwarming,1024AJ,https://www.funda.nl/koop/amsterdam/appartement-40333441-jisperveldstraat-177/?navigateSource=resultlist,-,-,-
€ 200.000 k.k.,€ 3.279,3 maanden,Beschikbaar,Per direct beschikbaar,€ 239 per maand,Bovenwoning (appartement),Bestaande bouw,-,Plat dak bedekt met bitumineuze dakbedekking,61 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer,Douche,1 woonlaag,8e woonlaag,"Lift, mechanische ventilatie en TV kabel",-,Dubbel glas,Stadsverwarming,1069EE,https://www.funda.nl/koop/amsterdam/appartement-40206158-langswater-602/?navigateSource=resultlist,-,-,-
